Date,Time,Temp (C),Temp (F)
Date,Time,Temp (C),Temp (F)
2025/7/7,0:41:36,27.25,81.05
Date,Time,Temp (C),Temp (F)
2025/7/7,0:41:38,27.25,81.05
2025/7/7,0:41:43,29.50,85.10
2025/7/7,0:41:48,29.50,85.10
2025/7/7,0:41:53,29.00,84.20
2025/7/7,0:41:58,29.00,84.20
2025/7/7,0:42:3,29.25,84.65
2025/7/7,0:42:9,29.00,84.20
2025/7/7,0:42:14,28.75,83.75
2025/7/7,0:42:19,28.75,83.75
2025/7/7,0:42:24,29.00,84.20
2025/7/7,0:42:29,29.75,85.55
2025/7/7,0:42:34,30.50,86.90
2025/7/7,0:42:39,31.00,87.80
2025/7/7,0:42:44,32.25,90.05
2025/7/7,0:42:49,33.00,91.40
2025/7/7,0:42:54,33.25,91.85
2025/7/7,0:42:59,33.50,92.30
Date,Time,Temp (C),Temp (F)
2025/7/10,13:7:55,26.50,79.70
Date,Time,Temp (C),Temp (F)
2025/7/10,13:7:57,26.25,79.25
2025/7/10,13:8:2,26.50,79.70
2025/7/10,13:8:7,25.75,78.35
2025/7/10,13:8:12,25.75,78.35
2025/7/10,13:8:17,25.25,77.45
2025/7/10,13:8:22,25.50,77.90
2025/7/10,13:8:27,25.50,77.90
2025/7/10,13:8:32,25.00,77.00
2025/7/10,13:8:37,25.00,77.00
2025/7/10,13:8:42,23.00,73.40
2025/7/10,13:8:47,22.50,72.50
2025/7/10,13:8:52,22.25,72.05
2025/7/10,13:8:57,22.75,72.95
2025/7/10,13:9:2,23.25,73.85
2025/7/10,13:9:7,23.25,73.85
2025/7/10,13:9:12,23.25,73.85
2025/7/10,13:9:17,23.00,73.40
2025/7/10,13:9:22,22.50,72.50
2025/7/10,13:9:27,22.25,72.05
2025/7/10,13:9:32,23.00,73.40
2025/7/10,13:9:37,23.00,73.40
2025/7/10,13:9:42,23.75,74.75
2025/7/10,13:9:47,23.00,73.40
2025/7/10,13:9:52,22.75,72.95
2025/7/10,13:9:57,23.75,74.75
2025/7/10,13:10:2,24.25,75.65
2025/7/10,13:10:8,24.50,76.10
2025/7/10,13:10:13,24.50,76.10
2025/7/10,13:10:18,25.25,77.45
2025/7/10,13:10:23,26.25,79.25
2025/7/10,13:10:28,27.00,80.60
2025/7/10,13:10:33,28.25,82.85
2025/7/10,13:10:38,28.25,82.85
2025/7/10,13:10:43,29.75,85.55
2025/7/10,13:10:48,31.00,87.80
2025/7/10,13:10:53,31.50,88.70
2025/7/10,13:10:58,32.75,90.95
2025/7/10,13:11:3,34.25,93.65
2025/7/10,13:11:8,35.25,95.45
2025/7/10,13:11:13,36.25,97.25
2025/7/10,13:11:18,38.25,100.85
2025/7/10,13:11:23,39.50,103.10
2025/7/10,13:11:28,41.25,106.25
2025/7/10,13:11:33,42.75,108.95
2025/7/10,13:11:38,44.50,112.10
2025/7/10,13:11:43,45.50,113.90
2025/7/10,13:11:48,47.75,117.95
2025/7/10,13:11:53,49.00,120.20
2025/7/10,13:11:58,50.00,122.00
2025/7/10,13:12:3,51.00,123.80
2025/7/10,13:12:8,53.00,127.40
2025/7/10,13:12:13,54.25,129.65
2025/7/10,13:12:18,55.75,132.35
2025/7/10,13:12:23,57.75,135.95
2025/7/10,13:12:28,60.00,140.00
2025/7/10,13:12:33,60.50,140.90
2025/7/10,13:12:38,61.75,143.15
2025/7/10,13:12:43,63.50,146.30
2025/7/10,13:12:48,65.00,149.00
2025/7/10,13:12:53,66.25,151.25
2025/7/10,13:12:58,67.75,153.95
2025/7/10,13:13:3,69.25,156.65
2025/7/10,13:13:8,70.75,159.35
2025/7/10,13:13:13,73.00,163.40
2025/7/10,13:13:18,74.00,165.20
2025/7/10,13:13:23,76.50,169.70
2025/7/10,13:13:28,77.00,170.60
2025/7/10,13:13:33,79.00,174.20
2025/7/10,13:13:38,81.00,177.80
2025/7/10,13:13:43,83.25,181.85
2025/7/10,13:13:48,84.25,183.65
2025/7/10,13:13:53,85.75,186.35
2025/7/10,13:13:58,87.75,189.95
2025/7/10,13:14:3,89.75,193.55
2025/7/10,13:14:9,91.25,196.25
2025/7/10,13:14:14,91.50,196.70
2025/7/10,13:14:19,93.50,200.30
2025/7/10,13:14:24,95.00,203.00
2025/7/10,13:14:29,97.25,207.05
2025/7/10,13:14:34,98.25,208.85
2025/7/10,13:14:39,100.00,212.00
2025/7/10,13:14:44,102.25,216.05
2025/7/10,13:14:49,103.75,218.75
2025/7/10,13:14:54,105.25,221.45
2025/7/10,13:14:59,107.00,224.60
2025/7/10,13:15:4,108.75,227.75
2025/7/10,13:15:9,110.25,230.45
2025/7/10,13:15:14,112.00,233.60
2025/7/10,13:15:19,113.00,235.40
2025/7/10,13:15:24,114.25,237.65
2025/7/10,13:15:29,116.00,240.80
2025/7/10,13:15:34,117.25,243.05
2025/7/10,13:15:39,119.00,246.20
2025/7/10,13:15:44,121.25,250.25
2025/7/10,13:15:49,122.25,252.05
2025/7/10,13:15:54,125.25,257.45
2025/7/10,13:15:59,125.25,257.45
